city,drives_alone,carpools,public_transport,walks,works_at_home,other,mean_travel_time
Bear Creek AL,78.9,15.2,0,1.2,4.7,0,22.4
La Fayette AL,85.4,7.2,2.4,3.4,1.6,0,24.4
Lanett AL,87,10.7,0,0,1.7,0.5,19.4
Tuscumbia AL,86.5,11.4,0,0,1.6,0.5,20.3
Boligee AL,60.8,9.5,0,17.1,0,12.7,30.2
Malvern AL,84.3,8.5,0,1.4,4.6,1.3,25.5
Thorsby AL,87.5,7.4,2.3,0.4,2.4,0,31.3
Steele AL,88,5.3,0,0.7,3,3,25.2
Mentone AL,83.3,1.7,0,3.3,9.2,2.5,26
Fort Payne AL,85.6,9.7,0,1.3,1.8,1.6,19.8
Fyffe AL,87,2.2,0,0,10.9,0,23.1
Ider AL,78.3,11.2,0,0,9.1,1.4,28.1
Pine Ridge AL,91.1,8.9,0,0,0,0,20.1
Sand Rock AL,89.5,8.7,0,0,1.7,0,24.9
Valley Head AL,87,10,0,0,3,0,22.7
Waterloo AL,97,3,0,0,0,0,30.8
Eva AL,86.3,10.1,0,0,3.5,0,24.9
Falkville AL,89.4,8.9,0,0,0.9,0.7,24.3
Priceville AL,92.6,4.8,0,0.9,1.3,0.5,27.9
Childersburg AL,67.7,21,0,4.5,3.6,3.2,20.3
Attalla AL,90.1,7.5,1.6,0,0.7,0,18.9
Avon AL,91.1,4.7,0,1,3.1,0,23.1
Kinston AL,89,8.6,1.4,0,1,0,26.2
Rehobeth AL,91.5,6.3,0,0.7,1.5,0,23.1
Ardmore AL,86.3,4.6,0,0,3.7,5.3,27.2
Athens AL,88.3,8.1,0,0.6,2.5,0.5,22.5
Citronelle AL,92,4.9,0.9,0,1.6,0.6,27.9
Dauphin Island AL,88.1,3.6,0,1.1,5.8,1.3,28.8
Mobile AL,85.5,7.5,0.8,1.4,3.8,1,21.9
Argo AL,81.4,16.2,0,0,1.4,1,32.3
Bessemer AL,77.2,16,1,1.6,2.6,1.6,22.4
Cardiff AL,84.6,15.4,0,0,0,0,0
Leeds AL,88.5,7.3,0,0.5,3.2,0.5,26.2
Lipscomb AL,80,14.7,0.5,0.2,0.9,3.7,26.8
Sumiton AL,85.5,11.2,0,1.9,1.4,0,27.2
West Jefferson AL,94.7,0.6,0,1.2,3.5,0,31.2
Needham AL,84.6,2.6,0,0,0,12.8,34.7
Silas AL,88.3,7.1,0,0,4.5,0,32.1
Jacksonville AL,83.3,7.4,0,3.5,4.8,1,21.9
Weaver AL,84.6,10.9,0.3,0,2.9,1.2,27.8
Gordon AL,90.3,4.2,0,0,5.6,0,27.8
Taylor AL,96.6,3.4,0,0,0,0,23.6
Webb AL,84.4,12.1,0,0.4,2.3,0.8,21.4
Bayou La Batre AL,68.4,5.5,0,9.5,15.8,0.9,17.7
