city,drives_alone,carpools,public_transport,walks,works_at_home,other,mean_travel_time
West Melbourne FL,82.2,8,0.2,1.3,6.1,2.1,19.5
Cocoa FL,79.6,9.8,3.7,1.2,2.8,2.9,23.4
Melbourne FL,80.1,9.4,0.7,2.2,4.4,3.3,21.7
Melbourne Beach FL,78.4,2.2,0.6,3.1,14.3,1.5,24.4
Palm Springs FL,79,12.3,3.6,2.3,1.5,1.3,24.8
Royal Palm Beach FL,83.8,10.5,0.8,0.7,3.3,0.8,27.7
Tequesta FL,77.1,5.5,0,2.2,14.7,0.5,21.8
Edgewater FL,83.1,6.5,0.1,0.9,6,3.4,26.7
Virginia Gardens FL,87.1,4.7,0.9,2.2,3.8,1.3,21.4
Oak Hill FL,70.5,8.7,0,2.5,16.3,1.9,24.5
Baldwin FL,84.6,12,0.5,1.7,1.2,0,30.5
Apalachicola FL,69.7,13.5,0.9,7.8,3.2,5,15.6
Carrabelle FL,69.2,14.3,0,0,9.1,7.3,31.3
Riviera Beach FL,77.2,12.6,4.1,1.6,2.4,2.1,21.9
Holly Hill FL,77.4,12.5,2.1,0.7,3,4.4,20.5
Pierson FL,70.7,20.6,1.9,1.9,2.3,2.6,38.2
Ponce Inlet FL,74.6,3,3.9,1.9,16.6,0,31
Archer FL,89.7,3.1,0,0.9,4.7,1.6,27.8
Micanopy FL,78.2,4.2,0,6.2,10.4,1,25
Pensacola FL,77.4,12.7,1.2,1.7,5.1,1.8,19.9
Beverly Beach FL,64.3,11.6,0,4.5,19.6,0,35.9
Cinco Bayou FL,89.2,6.4,1,1,1,1.5,15.3
Destin FL,83,7.1,0,0.8,6.1,3.1,21.3
Mary Esther FL,84.8,10.1,0,1.1,2.1,1.9,23.7
St. Cloud FL,81.1,11,1.1,0.8,3.8,2.2,32.6
Port Richey FL,83.8,2.1,2,0.7,7.2,4.1,32.3
Panama City Beach FL,83.3,5.5,0.7,2.1,6.5,1.9,22.3
North Miami FL,71.9,9,10.2,2.4,3.3,3.2,30.9
Marineland FL,25,0,0,75,0,0,0
Arcadia FL,69.6,13.8,8.4,1.3,5.1,1.8,21.5
Lake Placid FL,64,6.6,19.6,1.6,2.9,5.3,17.4
High Springs FL,87.6,8.3,0,1.4,2.2,0.5,26.5
Tamarac FL,82.6,7.8,3.6,0.4,4,1.6,29.4
Sneads FL,96.5,0,0,0,1.7,1.8,22.6
Winter Springs FL,82.8,6.3,0.4,0.5,8.5,1.5,29.1
Hollywood FL,77.1,10.6,3.2,2,4.5,2.5,28.5
Plantation FL,81.6,9.1,1.6,0.5,6.1,1.2,26.7
Sea Ranch Lakes FL,75.6,6.5,0,0,6.1,11.8,23.9
Wilton Manors FL,74.6,5.4,2.8,3,10.8,3.6,26.1
Inverness FL,77.7,11.6,0.2,3.9,3,3.7,22.2
Jay FL,88.1,1.8,0,0,7.7,2.4,28.9
Fort Pierce FL,73.5,16.4,1.3,2.7,2.6,3.4,24.5
Milton FL,76,14.2,0,0.8,8.6,0.4,25.4
Newberry FL,83,11.1,0,0.2,3.3,2.4,31.4
Sewall's Point FL,77.1,8.3,0,0,13.7,0.9,25.9
Stuart FL,74.8,11.3,0.8,2.8,6.7,3.6,24.7
Lynn Haven FL,82.4,9.7,1,2.5,2.8,1.7,21.3
Eagle Lake FL,87,7.5,0.4,0.2,3.1,1.8,25.5
Sparks GA,84.5,9,0,2,2.4,2,23.8
Rhine GA,86.5,4.3,0,7.1,0,2.1,30.4
Bowman GA,81.1,6.8,0,2.8,6,3.2,24.4
Grovetown GA,81.4,17.1,0,0,1.5,0,22.3
Harlem GA,91.7,4,0,2.8,0,1.5,26.5
Coolidge GA,82.1,17.9,0,0,0,0,26.7
Waleska GA,59.6,10.5,1.2,15.2,13.5,0,20.8
Alpharetta GA,77.6,5.5,1.5,1.5,12.2,1.7,27.7
Roswell GA,75.1,8.4,2.9,1.9,9.8,1.9,29.2
Tallapoosa GA,82.3,11,0,0,6.7,0,26.9
Hartwell GA,87.5,8.9,0,1.8,1.7,0,20
Talking Rock GA,72.7,3,0,0,15.2,9.1,30.5
Meigs GA,75.1,18.1,1.9,0,4.9,0,28.7
Orchard Hill GA,90,10,0,0,0,0,30.4
Geneva GA,90.2,4.9,4.9,0,0,0,22.1
Junction City GA,57.5,42.5,0,0,0,0,50.6
Rochelle GA,90.2,5.7,0,4.1,0,0,23.4
Turin GA,85.1,7.8,0,0,7.1,0,34
Boston GA,68.2,22.3,0,2.7,4.9,2,19.8
Monroe GA,77.9,16.7,0,2.4,2.8,0.2,27
Irwinton GA,83.3,14.2,1.7,0.8,0,0,28.4
Columbus GA,79.7,9.8,1.5,1.3,5.8,2,20
Lenox GA,81.2,14.6,0,0,2.7,1.5,21.1
Bostwick GA,83.1,14.9,0,0,2,0,26.4
Porterdale GA,65.6,24.4,2.2,2.7,0.5,4.7,25.7
Watkinsville GA,88.4,7.1,0,0.3,2.8,1.4,23.3
Allentown GA,87,10.9,0,0,2.2,0,35.8
Rentz GA,82.9,10.5,0,6.6,0,0,18.8
Resaca GA,78.4,8.8,0,0,5.4,7.4,21.4
Reynolds GA,75.3,14.9,0,0,2.5,7.3,33.6
Rincon GA,79.4,15.7,0,2.4,1.6,0.9,28.5
Tarrytown GA,76.9,23.1,0,0,0,0,51.9
Whitesburg GA,75.4,21.1,0,3.5,0,0,33.5
Williamson GA,73.3,17.3,0,0,8,1.3,42.6
Sale City GA,78.8,19.7,0,0,0,1.5,25.7
Sandy Springs GA,73.5,7,8.5,1.4,8.3,1.3,25.5
Sardis GA,78.8,17.5,0,0,3.8,0,30.9
Barwick GA,66.1,33.1,0,0,0,0.8,24.8
Blythe GA,89.4,7.9,0,0,2,0.8,42.5
Braswell GA,92.4,4.7,0,2.9,0,0,34.4
Brooklet GA,79,10.5,3,0,5,2.4,25.6
Cecil GA,79.5,7.1,0,0,0,13.4,32.7
Chauncey GA,69.4,26.1,0,0,0.7,3.7,18.3
Concord GA,92.9,2.4,0,0,4.8,0,33.4
Damascus GA,88.2,5.3,0,2.6,0,3.9,24
Hiawassee GA,74.6,15.2,0,0,10.2,0,18.9
Hiltonia GA,80.7,19.3,0,0,0,0,28
Ivey GA,91.8,6,0,0,2.2,0,25.9
Jacksonville GA,93.3,6.7,0,0,0,0,40.5
Jersey GA,80,4.4,0,4.4,11.1,0,26
Keysville GA,80,14.3,0,0,0,5.7,31
Kite GA,85.4,8.7,0,4.9,0,1,28.7
LaFayette GA,79.3,14.6,0,3.4,2.6,0,21.3
Ephesus GA,87.6,5,0,0,6.6,0.8,36.8
Flowery Branch GA,89.7,4.6,0,0.3,5.4,0,28.7
Stillmore GA,95.3,2,0,2.4,0.4,0,31
Summertown GA,70.6,29.4,0,0,0,0,34.7
Toomsboro GA,84.9,5.5,0,9.6,0,0,24.4
Nunez GA,63,15.1,0,5.5,0,16.4,18.6
Odum GA,86,12.6,0,0,0,1.4,30.9
Pendergrass GA,81.6,8.4,0,0,7.7,2.3,27.4
Rebecca GA,92.9,0,0,0,3.1,4.1,21.9
Walnut Grove GA,84,10.2,1,0.6,2.9,1.2,32.9
Berlin GA,80.5,9.7,7.7,0,0,2.1,22.1
Cohutta GA,92.5,1.9,0,1,1.3,3.2,28.7
Alamo GA,92.3,0,0,7,0.6,0.2,21.9
Allenhurst GA,74.1,18.7,0,5,0.3,1.9,26.3
Milan GA,77,13.2,0,6.6,0,3.1,24.9
Funston GA,85.8,11.5,0,0,1.9,0.8,23.2
Garfield GA,100,0,0,0,0,0,24
Good Hope GA,99.2,0,0,0,0.8,0,23.9
Morganton GA,93.5,0,0,1.3,5.2,0,25
Milton GA,76.5,4.4,0.4,0.5,15.7,2.4,28
Johns Creek GA,77.2,9.2,0.9,0.4,11,1.4,33.3
Chattahoochee Hills GA,80.5,5.7,3.4,0.3,9.6,0.4,36.6
Dunwoody GA,77.1,8.1,6,1,6.9,1,26
Jenkinsburg GA,87.8,6.4,0,0,5.8,0,31.4
Mountain City GA,61.9,38.1,0,0,0,0,21.9
Sylvania GA,82.6,15.1,0,2.3,0,0,24.4
Carlton GA,83,11.3,0,3.8,1.9,0,34.1
Ila GA,59.8,28.3,0,0,0,11.8,24.3
Mount Vernon GA,79.4,12.6,0,3.8,0.5,3.8,22.8
Oxford GA,71,10.5,0,14.9,2.2,1.4,19.8
Chickamauga GA,91,5.1,0,0,2.3,1.6,27.5
Clayton GA,62.8,27.3,1.6,6.1,2.1,0,21.5
Sky Valley GA,77.6,10.5,0,0,11.8,0,23.9
Santa Claus GA,79.4,14.3,0,6.3,0,0,16.2
Jesup GA,77.8,8.4,0,2.8,4.7,6.3,17.2
Franklin GA,85.7,4,0,9.2,1.1,0,16.8
Stapleton GA,89.4,2.5,0,1.2,5.6,1.2,26.6
East Point GA,65.3,10.3,17.9,1.9,3.1,1.4,29.8
Centralhatchee GA,71.5,25.1,0,0,1.1,2.2,35.4
Millen GA,79.4,13.4,0,3.4,3.7,0,24.8
Avera GA,91.9,8.1,0,0,0,0,20.5
Cumming GA,71.4,16.1,0.9,4.7,1.5,5.3,22.8
Arcade GA,87.9,8.7,0,0,2.4,1,27.1
Talmo GA,66.7,33.3,0,0,0,0,22
Warm Springs GA,90.2,6.3,0,1.4,0,2.1,27.4
Higgston GA,87.2,9.1,0,0,1.8,1.8,26.1
Uvalda GA,83.4,10.6,1,2,0,3,28.1
Eton GA,85.2,10.4,0,2.3,0.6,1.5,24.3
Bishop GA,79.6,8.6,0,0.7,11.2,0,29.6
Perry GA,82.5,12.1,0.2,1,4,0.3,20.7
Warner Robins GA,86.7,9.4,0,0.5,1.5,1.8,20.4
Dallas GA,85.5,9.7,0.4,0,3.6,0.8,34.4
Maxeys GA,92.7,4,0,0.7,2.7,0,39.7
Dillard GA,74,10,0,6.8,2.7,6.4,16.9
Hiram GA,87.7,3.9,0.7,3.6,3.6,0.4,29.9
Pineview GA,86.9,3.6,0,5.1,2.9,1.5,25.2
Fairburn GA,65.4,18.4,7.2,0,8.4,0.7,27.8
Hamilton GA,85.4,7.8,0,4.3,0,2.5,31.4
Waverly Hall GA,85.2,3.6,0.5,1.4,2.2,7.1,23.3
Ellaville GA,85.9,8,0.2,1.9,1.5,2.5,20.8
Plains GA,81.8,15.2,0,0,3,0,25
Manchester GA,74.9,16.3,0,5.2,1.3,2.3,21.1
Moreland GA,87.9,6.1,0.5,0.5,3.5,1.5,22.1
Avalon GA,94.9,0,0,3,2,0,27.9
Soperton GA,81.1,15.8,0,0,3.1,0,28.2
Sycamore GA,83.4,10.6,1.5,1.5,2,1,18.7
Oakwood GA,85.3,7.8,0.4,2.1,2.2,2.2,21.5
Waco GA,79.3,15.8,0,2,2,1,37.2
Sunny Side GA,77.3,15.2,0,7.6,0,0,38.3
Norwood GA,96.3,2.8,0,0,0.9,0,22.7
Riddleville GA,81.6,10.5,0,0,7.9,0,17.6
Tennille GA,78.5,16.2,1.2,1.3,0.3,2.5,21.6
Glenwood GA,90.1,4.1,0,5.8,0,0,22.9
Berkeley Lake GA,77.7,7.1,1.2,0.6,12.4,1.1,32.2
Grayson GA,80.6,7.2,0,0.9,9.6,1.7,34
Lawrenceville GA,82.3,10.9,1.1,1.3,3.5,1,32.5
Varnell GA,93.7,5.6,0,0,0.7,0,25.6
Milledgeville GA,82.7,8.4,0.7,5.3,1.6,1.3,16.3
Carl GA,87.9,4.4,0,0,7.7,0,21.4
Cochran GA,85.6,9.6,0.3,2.2,1.5,0.7,20.2
Jeffersonville GA,90.6,4.3,0.7,1.7,2.7,0,27.2
McIntyre GA,79.6,9.1,0,3.9,1.8,5.6,16.8
Blairsville GA,98.4,1.6,0,0,0,0,8.2
Yatesville GA,89.7,7.6,0,1.1,1.6,0,24.8
Waycross GA,80.3,9.7,2.2,3.9,2.3,1.5,15.6
Morgan GA,94,0,0,2.4,3.6,0,21.7
Stone Mountain GA,66.2,10.2,17,1.3,4,1.4,36.1
Mitchell GA,80.2,10.5,0,0,4.7,4.7,29.6
Alto GA,78.5,17.5,1.5,2.2,0.2,0,31.3
Menlo GA,84.9,15.1,0,0,0,0,21.8
Douglas GA,87,4.4,0.6,1.9,3.1,2.9,16.3
Royston GA,82.6,13,2.2,1,0.9,0.3,22.7
Brunswick GA,75.7,15.6,1.1,2.9,1.1,3.6,18.1
Woodville GA,91.6,4.9,0,0,3.5,0,29.3
Baldwin GA,74.6,19.1,1.2,0.3,2.6,2.2,21.7
Maysville GA,87.7,9.5,0,0,2.4,0.4,32
Ellenton GA,69,31,0,0,0,0,20
Hawkinsville GA,82.7,7.3,0,7.2,2.9,0,13.5
Holly Springs GA,82.2,6.3,0.9,0.5,10,0,36.7
Guyton GA,84.2,7.1,0.5,4.1,1.8,2.4,35.8
Bellville GA,94.7,0,0,0,0,5.3,21
Dawsonville GA,81.5,15.9,0,0,2.6,0,31.6
Cave Spring GA,79.9,11.6,0,4.6,3.9,0,22.1
Woolsey GA,90.1,7,0,0,2.8,0,28.1
Carnesville GA,73.5,17.5,0,1.1,7.3,0.6,25.8
Franklin Springs GA,49,7.1,2.8,24.1,11.9,5.1,16
Commerce GA,87,8.8,0,1.6,0.6,2,24.7
Lone Oak GA,88.5,0,0,11.5,0,0,30.6
Arnoldsville GA,86.1,10.9,1,0,2,0,24.3
Molena GA,92.7,7.3,0,0,0,0,32.7
Newington GA,95.5,3.4,0,0,0,1.1,27.6
Hampton GA,72.9,15.2,0.5,0.6,10,0.8,29.6
Remerton GA,90.4,2.1,0,2.5,4.3,0.7,11.7
Hoschton GA,78.4,7,1.5,1.3,11.4,0.5,34.6
Gumbranch GA,76.5,6.9,0,0,16.7,0,18.4
Riceboro GA,78.8,7.3,1.6,2,6.1,4.1,22.4
Colbert GA,78.6,4.3,3,1,2.6,10.5,22.9
Luthersville GA,79.6,17.1,3.3,0,0,0,34.3
Byron GA,86.2,11.6,0,0,0.9,1.3,19.3
Rocky Ford GA,77.9,9.3,0,12.8,0,0,24.7
Forest Park GA,65.2,18.9,3,2.2,2.8,7.9,27.6
Morrow GA,89.7,5.2,1.6,2,0.4,1,25.9
Thomaston GA,76.7,18.4,1,0.6,0.7,2.6,18.9
Palmetto GA,59.3,32.8,0.9,0.6,5.7,0.8,33.7
Deepstep GA,75,19.2,0,0,0,5.8,26.1
Reidsville GA,85.5,5.1,0.2,1,5.2,2.9,20.6
Cleveland GA,78,7.6,0,4.7,2.4,7.3,19.4
Lyons GA,64.8,22.4,0,5.4,1.2,6.2,18.2
Young Harris GA,52.8,7.2,0,27.1,8.6,4.4,12.4
Lookout Mountain GA,76.3,12,0.3,1.7,9.6,0,18.4
Lovejoy GA,81.6,8.2,1,1.1,7.3,0.8,32.2
Bainbridge GA,81.2,8.7,1,0.3,0.2,8.7,22
Brinson GA,89.5,0,0,0,0,10.5,29.6
Mansfield GA,80.4,9.1,0,2.8,7.7,0,29
Dexter GA,83.7,13.1,0,1.6,1.6,0,23.8
Gay GA,61,2.4,0,9.8,14.6,12.2,21.9
Greenville GA,79.6,11.9,0,4,4.6,0,26.7
Pine Mountain GA,76.9,9.7,1.1,6.4,1.1,4.9,21
Chatsworth GA,79.3,13.9,0,3.4,1.9,1.5,24
Newborn GA,82.3,13.2,0,0,1.9,2.6,32.5
Meansville GA,94.7,0,0,0,0,5.3,35.1
Tiger GA,83.5,10.4,0,3.7,1.2,1.2,21.8
Sasser GA,88,9.4,0,0,2.6,0,21.3
Albany GA,75.7,13.8,2.5,2.9,4.2,0.9,18.3
Bartow GA,91.5,3.8,0,4.6,0,0,32.5
Barnesville GA,67,16.1,0,7.6,4.9,4.4,21.7
Thomson GA,89.7,6.9,0,1.1,0.9,1.4,21.1
Oglethorpe GA,69.6,22.8,0,5.2,2.4,0,24.7
Rutledge GA,67,20.8,0.9,3.6,4.2,3.6,27.4
Locust Grove GA,81.5,12.6,0,0.5,2.7,2.7,30.3
McDonough GA,77.6,11.4,0.9,0.7,8.3,1,33.2
Nicholson GA,87.4,9.3,0,0,2.6,0.7,31.8
Lakeland GA,76.9,6.2,0.2,13.8,0,2.8,22.8
Snellville GA,78,10.8,0.8,2.1,6.5,1.7,43.5
Sugar Hill GA,83.8,8.2,0.3,0,7.1,0.7,33.4
Dalton GA,80.7,13.1,0.4,1.4,1.8,2.7,18.6
Alapaha GA,87.6,12.1,0,0.3,0,0,27.4
Nahunta GA,92.6,5.2,2.2,0,0,0,37.5
Davisboro GA,91.3,7.1,0,0,0,1.6,28.6
Flovilla GA,91.2,7.1,0,0.4,0.7,0.7,30.4
Harrison GA,79.8,13.1,4.2,0,3,0,30.6
Scotland GA,100,0,0,0,0,0,30.7
Temple GA,78.6,21.4,0,0,0,0,26
Fargo GA,94.1,0,0,0,5.9,0,32.7
Springfield GA,86.1,10,0.3,3.2,0.4,0,32.7
Canton GA,73.8,14.3,0.2,4.6,5,2.1,33.6
Suwanee GA,79.6,7.3,2.6,0.9,8.1,1.5,34.3
Hogansville GA,76.1,19.9,0,1.7,1.9,0.4,29
Ashburn GA,75.6,18.2,0,1.8,0,4.4,21.9
Lilburn GA,72.8,21,2.2,1.5,2.4,0.1,31
Pearson GA,84.3,11.6,0,2.1,0.4,1.6,23.1
Auburn GA,86.2,9.7,0.2,0.3,2.6,1,34.8
Winder GA,85.7,10.5,0.4,1.3,1.2,0.9,31.7
Fitzgerald GA,80.1,12.7,0,1.8,0.3,5,16.5
Bowdon GA,74.6,16.2,0.7,3.5,1.7,3.4,25.1
Savannah GA,73.6,10.1,4.4,4.2,3.7,4,20.2
Haralson GA,83.1,16.9,0,0,0,0,37.5
Ochlocknee GA,71.5,25.4,0,0,3.1,0,18.5
Ty Ty GA,87.3,11.1,0,0,1.5,0,21.7
Danville GA,71,19.4,0,0,6.5,3.2,33.8
Oconee GA,100,0,0,0,0,0,35.9
Dacula GA,81.4,7.2,0,0,7.7,3.7,38.5
Tunnel Hill GA,81.7,13.9,0,1.9,1.7,0.8,20
Warrenton GA,88.4,5,0.6,1.4,3.7,0.8,25.1
Homerville GA,86.7,3.7,0,3.5,4.8,1.3,14.8
Buford GA,75.5,12.4,0.5,2.2,3.8,5.5,28.6
Rest Haven GA,72.5,13.7,0,11.8,0,2,21.2
Ocilla GA,93.9,5.3,0,0.8,0,0,17.5
Willacoochee GA,68.9,26.9,0,2.9,0,1.2,25.2
Statham GA,80.1,18.7,0,0.3,0,0.9,29.8
Hoboken GA,86.4,10.7,0,1.4,1.4,0,25.4
Pembroke GA,82.7,12.9,0,2.8,1.6,0,29.4
Mount Zion GA,79.6,14.9,0,3.3,1.8,0.4,29.4
Vernonburg GA,83.9,12.9,0,0,3.2,0,14
Eastman GA,83.5,5.8,1.2,1.2,2,6.3,21.4
Pavo GA,75.8,19.3,0,1.9,2.9,0,23.2
Fort Oglethorpe GA,86.6,10.3,0,0.9,1.6,0.6,21.3
Ringgold GA,82.7,16.7,0,0,0.6,0,21.4
Kingsland GA,89.3,6.2,0,0.6,1.9,2,22
Monticello GA,74.8,11.4,0,4.8,2.6,6.4,22.4
Denton GA,94.3,0,0,5.7,0,0,24.3
Leesburg GA,84.5,10,0,0.6,4.9,0,23.1
East Dublin GA,89.8,6.9,0,2.2,0,1.2,27.5
Pelham GA,66.6,25.2,0,8.2,0,0,21.8
Culloden GA,87.9,6.6,0,5.5,0,0,30.8
Cuthbert GA,54.2,34.7,0,3.2,1.9,6,25.6
Shellman GA,71.5,12.5,0,10.3,5.6,0,29.1
Hephzibah GA,90.6,8.5,0,0,0.5,0.3,28
Oliver GA,90.9,7.6,0,0,1.5,0,38.3
Bronwood GA,80,1.3,6.7,8,4,0,16.7
Dawson GA,72.3,17.2,0.5,6.4,2.6,1.1,26.8
Washington GA,79.2,16.9,0,0,3.9,0,21.8
Rome GA,81.3,9.7,0.4,1.3,5.2,2.1,20.6
Gray GA,84.1,10.2,0,1.1,4.6,0,25.5
Hinesville GA,84.6,9.5,0.2,2.5,0.9,2.3,21.7
Dasher GA,89.5,7.5,0,1.1,1.5,0.4,18.8
Valdosta GA,85.2,8.3,0.3,2.6,2,1.7,18.4
Comer GA,75.2,11.7,0,6.3,4.9,1.9,25.1
Danielsville GA,85.9,8,0,0.6,1.6,3.8,26.3
Martin GA,94,2.3,0,0,2.8,0.9,25.5
Adrian GA,87.3,10.7,0,2,0,0,30.1
Oak Park GA,90,7.4,0,0,0,2.6,30.6
Fayetteville GA,79.4,11.5,1.2,1,6.1,0.8,34
Peachtree City GA,77.7,7.2,0.3,0.2,10.7,3.9,28.8
Union Point GA,86.8,9.9,0,0,0,3.3,27.6
Centerville GA,88.2,6.9,0,0,4.2,0.7,21.8
Baxley GA,78.9,16.1,0,5.1,0,0,17.7
Winterville GA,87.8,8.5,0,0.4,2.4,0.9,20
Edge Hill GA,66.7,0,0,0,0,33.3,0
Lula GA,86.6,8.5,0,2.6,0.8,1.5,25.3
Moultrie GA,67.8,23.3,1.9,4.2,2.6,0.4,19.2
Norman Park GA,88.5,5.2,0,2.3,2.9,1,23.9
Girard GA,96.3,3.7,0,0,0,0,30.2
Chamblee GA,59.6,22.5,10.3,2.7,3.7,1.1,27.3
Cartersville GA,77.1,10.9,0.8,1,7.8,2.4,23.8
Emerson GA,72.8,10.1,0.6,0.7,15.7,0,29.1
Taylorsville GA,86.7,2.2,0,1.1,1.1,8.9,26.2
Norcross GA,72.9,19.3,1.1,1.5,2.3,3,30.5
Nicholls GA,84.2,11.7,0.8,2.1,0.8,0.4,21.2
Dearing GA,88.7,5.1,0,1.2,2.3,2.7,24.3
Ideal GA,66.4,6.2,3.5,4.4,0,19.5,28.5
Jasper GA,84.6,5.8,0,3.3,3.1,3.1,24.7
Fort Gaines GA,72.2,23.3,0,0,4.4,0,26.9
Gillsville GA,90,3.6,0,0,4.5,1.8,24.1
Lyerly GA,85.4,10.6,2.5,0,1.5,0,21.8
Trion GA,80.9,11.3,0,3.5,1.3,2.9,20.7
Register GA,82.2,11.1,0,0,6.7,0,22.5
Statesboro GA,73.8,10.7,2.2,5.3,4.4,3.6,18
Midville GA,72.6,24.8,0,0,2.6,0,37
Pulaski GA,79,8.1,0,12.9,0,0,21.8
Pinehurst GA,86.9,3.6,0,2.4,4.8,2.4,21.7
Jakin GA,74.7,19.3,0,3.6,2.4,0,23.6
Elberton GA,85.9,10.3,0,2.3,1.4,0,19.1
Powder Springs GA,80.3,11,0.5,2.4,4.8,1,36
Brooks GA,88,7.3,0,0,3.9,0.9,30.6
Doerun GA,85.9,11,0,0,0,3.1,28
Sparta GA,89.2,4.9,1.9,0,4,0,26.8
Blackshear GA,81,7.2,0,3.9,7.9,0,21.1
Patterson GA,96.9,2.7,0,0,0,0.4,23.4
Eatonton GA,78.3,13.8,0,0,2.2,5.6,18.1
Waynesboro GA,90.3,5.9,0,1.7,2.2,0,21.6
Doraville GA,52.6,34.1,6.7,1.5,2.4,2.7,29.3
Pooler GA,88.7,7.1,0,0.1,3.5,0.6,21.7
Forsyth GA,83.1,12.5,0,0.9,2.8,0.7,22.8
Buckhead GA,90.5,9.5,0,0,0,0,33.8
Stockbridge GA,82.4,8.1,1,0.7,5.4,2.4,33.3
Flemington GA,83.1,11.6,0,0,2.8,2.5,19.2
Darien GA,80,17.4,0,1.1,0.6,0.9,25.4
Sharon GA,93.6,6.4,0,0,0,0,38.3
Covington GA,77.9,13.4,0.6,1.4,4.6,2.1,25.5
Crawford GA,87.8,11,0,1.3,0,0,27.4
Cairo GA,75.4,22.9,0,1.1,0.3,0.4,24.6
Shady Dale GA,76.4,8.9,0,8.9,5.1,0.6,23.9
Louisville GA,79.5,17.2,0,2.6,0.7,0,20.4
Wrens GA,77.6,18.1,0,1.4,2.9,0,23.9
Milner GA,75.8,17,0,0,7.1,0,29.7
Smithville GA,83.2,14.9,0,0,1.9,0,27
Dudley GA,94.9,4.3,0,0.3,0.5,0,25.3
Montrose GA,93.2,4.1,0,0,0,2.7,42.9
Dahlonega GA,82.4,5.8,0,4.9,6.6,0.2,17.5
Morven GA,89.5,6.1,2.8,0,0,1.6,23.5
Alma GA,82,8.1,5,1.8,3.1,0,21.6
Enigma GA,78.4,13.2,0,1.1,1.8,5.5,26.4
Ray City GA,90.6,4.3,0,1.8,1.4,1.8,21.7
Richmond Hill GA,85.5,8.1,0,0.2,2.6,3.6,26.6
Folkston GA,76.2,18.9,1.6,0,1.8,1.6,27.7
Homeland GA,68.6,20.2,0,1.8,3.6,5.7,31.7
Carrollton GA,77.2,12.6,0.8,4.3,2.3,2.7,17.4
Port Wentworth GA,92.6,5.3,0,0,2.2,0,25.3
Du Pont GA,94.9,0,0,0,5.1,0,25
Sharpsburg GA,84.3,4.2,0,0,3.6,7.8,37
Grantville GA,80.8,14.4,0,1,1,2.8,32.1
Newnan GA,74.8,16.3,0.6,0.6,5.5,2.3,29
Senoia GA,84.4,5,0.6,0.5,7.4,2.2,33.1
LaGrange GA,82.5,10.5,0,2.6,1.3,3.1,20
West Point GA,86.8,10.5,0,0,0,2.7,16.5
Duluth GA,77.1,10.8,2,1.1,7.5,1.5,32.3
Loganville GA,87.2,8.7,0.2,0,3.1,0.8,33.3
Hapeville GA,64.2,14.6,13.2,2.2,4.4,1.3,26.1
Riverdale GA,80.8,8.7,3.7,2.4,1.6,2.8,27.1
Climax GA,90,1.4,0,1.4,0,7.1,21.1
Douglasville GA,78.2,10.1,0.5,1.4,6.9,2.9,32.7
Buchanan GA,77.9,15.4,0,0,5.4,1.3,35.7
Rockmart GA,87.8,7.6,0,0,2,2.6,28
Donalsonville GA,80.8,7.6,0.5,1.6,3.8,5.8,18.1
Iron City GA,70.7,23.2,2.4,0,2.4,1.2,30.5
Griffin GA,82.3,9.9,0.7,2.7,2,2.4,25.2
Glennville GA,81.1,8.4,0,0,2.9,7.6,19.5
Lumber City GA,87.9,0,0,4.1,3.6,4.3,24.8
Clarkston GA,52,29.4,11.4,1.3,3.4,2.5,36.9
Lithonia GA,70.4,11.8,11.6,1.7,1.3,3.2,37.9
Pine Lake GA,76.4,1.7,8.9,3,9.9,0,33.6
Woodbine GA,92.4,4.3,0,0,2.6,0.7,30.9
Roopville GA,69.7,24.2,3,0,0,3,30.2
Villa Rica GA,78.5,14.6,0,0.6,4.4,1.9,34.4
Adel GA,79.3,10.9,0.5,4.1,4.6,0.5,20.5
Roberta GA,89.2,10.8,0,0,0,0,32.4
Chester GA,93.5,3.3,0,1.6,0.8,0.8,32.5
Vienna GA,80.5,17.3,0,2.2,0,0,18
Claxton GA,76.1,14.8,0,1.9,2.6,4.7,23.3
Hagan GA,65.7,15.8,0,0.6,3,14.9,14.9
Mountain Park GA,79.4,5.1,0.7,0,14,0.7,31.7
Nelson GA,77.6,13.7,0,1.6,7.1,0,30.4
Acworth GA,81.6,8.9,0,1,5.9,2.6,32.1
Marietta GA,73.3,10.5,2,3.1,7.2,4,28.3
Smyrna GA,83.2,5,0.8,1.5,8.1,1.4,29.4
Dooling GA,54.5,18.2,0,0,27.3,0,18.5
Austell GA,73.2,18.5,3.5,0.4,4.4,0,31
Canon GA,88.6,8.6,0,1.2,1.2,0.4,22
Lavonia GA,86,9,0,1.5,3.5,0,20.4
Siloam GA,83.2,3.2,0,1.3,3.2,9,24.5
Swainsboro GA,80.6,11.8,3.3,2.2,2.1,0,21.9
Greensboro GA,74.9,12.9,1.4,2.2,3,5.7,13.9
Jackson GA,87.1,10.9,0,0.6,1.4,0,25.9
Offerman GA,81.2,16.3,0,0,2.5,0,30.2
Vidette GA,94.3,4.3,1.4,0,0,0,29.5
Atlanta GA,68.7,6.9,10.2,4.4,7.6,2.3,26.3
Surrency GA,97,3,0,0,0,0,22.2
Bogart GA,77.3,18.9,0,0.6,1.6,1.6,25.8
Bluffton GA,59.7,25.4,0,0,14.9,0,31.3
Gibson GA,82.9,12.2,0,1.1,2.3,1.5,33.6
