city,white,hispanic_latino,african_american,american_indian,asian,pacific_islander,other_race,two_or_more_races
Goldville AL,93.3,6.7,0,0,0,0,0,0
Waverly AL,88.6,0,10.4,0,0,0,0,1
Valley AL,53.2,2,41.4,0.2,2.3,0,0,0.9
Littleville AL,95.1,1.6,0.3,2.3,0.2,0,0,0.6
Bear Creek AL,98,0,0,0.5,0,0,0,1.5
La Fayette AL,32.3,4.9,61.6,0.2,0.9,0,0,0.1
Lanett AL,35.2,3.7,59.8,0,0,0,0,1.2
Tuscumbia AL,69.5,4.7,21.7,0.4,0.2,0,0,3.5
Boligee AL,5,0,95,0,0,0,0,0
Malvern AL,91,4.3,3.9,0,0.1,0,0,0.8
Thorsby AL,75.5,13.1,7.7,1.8,0.5,0,0,1.3
Steele AL,96,3.1,0,0.3,0,0,0,0.6
Mentone AL,93.8,0,0,2,0,0,0,4.2
Fort Payne AL,73,20.7,2.9,0.3,0.8,0,0,2.4
Fyffe AL,93.4,0.8,1.2,0.8,0,0,0,3.8
Ider AL,95.3,0,0,2.9,0,0,0,1.9
Pine Ridge AL,75.1,19.7,3.1,1.7,0,0,0,0.4
Sand Rock AL,97.3,0,0,2.7,0,0,0,0
Valley Head AL,94.6,4,0.6,0.8,0,0,0,0
Waterloo AL,91.2,7.1,0,0,0,0,0,1.8
Eva AL,98.6,0,0,0,0.7,0,0,0.7
Falkville AL,93.4,1,2.9,1.4,0,0,0,1.3
Priceville AL,87.3,2.5,6.8,1.5,0.6,0,0.2,1.2
Childersburg AL,61,1.6,37,0.3,0,0,0,0
Attalla AL,70.5,5.9,19.4,0,0,1.1,0,3.1
Avon AL,92.5,2,2.2,3.3,0,0,0,0
Kinston AL,92.3,0,1.1,3.4,0.8,0,0,2.4
Rehobeth AL,90.2,4.8,4.3,0.3,0,0,0,0.4
Ardmore AL,90.6,0.6,5.7,0.9,0.4,0,0,1.8
Athens AL,70.8,8,16.4,1.1,1.6,0,0,2.1
Citronelle AL,76.7,0,18.9,4.1,0,0,0,0.3
Dauphin Island AL,94.8,3.5,0,0,0.2,0,0,1.5
Mobile AL,43.5,2.8,50.2,0.1,1.6,0,0.1,1.5
Argo AL,94.5,1.7,2.5,0,0.3,0,0,1
Bessemer AL,23,4.7,69.9,0.1,0.1,0,0.9,1.3
Cardiff AL,100,0,0,0,0,0,0,0
Leeds AL,74.3,7.5,16.1,0.5,0,0.1,0,1.4
Lipscomb AL,26.2,21.2,49.1,0,0,0,3.5,0
Sumiton AL,87.8,1.6,10.1,0,0,0,0,0.6
West Jefferson AL,99.6,0,0,0,0,0,0,0.4
Needham AL,98.2,0,0,0,0,0,0,1.8
Silas AL,58.5,0,41.1,0.4,0,0,0,0
Jacksonville AL,71.3,1.5,23.4,0.1,1.4,0,0,2.3
Weaver AL,79.3,2,10.3,0.6,2.4,0,0.1,5.3
Gordon AL,15.6,0,84.1,0,0,0,0,0.3
Taylor AL,79.4,4.2,11.9,0,0.1,0,0,4.4
Webb AL,76.8,10.9,11.5,0.8,0,0,0,0
Bayou La Batre AL,44.2,8.1,16.2,0.2,25,0,0,6.3
Mooresville AL,83.6,1.4,11,0,4.1,0,0,0
Carbon Hill AL,83,0,9.7,0.1,0.9,0,0,6.2
Tuscaloosa AL,49.5,2.6,44.1,0.1,2.5,0.1,0.1,1.1
Oneonta AL,70.5,15.6,9.1,0,0,0,1.8,3
Susan Moore AL,77.7,21.7,0,0,0,0,0,0.6
Fulton AL,74.6,0,25.4,0,0,0,0,0
Gaylesville AL,96.4,0,0,2.6,0,0,0,1
Glenwood AL,77.8,0,5.3,1.6,10.6,0,0,4.8
Marion AL,38,1,60.1,0.2,0.7,0,0,0
Langston AL,95.3,0.8,3.2,0,0,0,0,0.8
Madison AL,70.1,5.1,14.7,0.5,5.6,0,0.6,3.3
Edwardsville AL,99.6,0,0,0,0,0,0,0.4
Lake View AL,86.6,1.6,10.7,0.1,0.3,0,0.3,0.4
