city,white,hispanic_latino,african_american,american_indian,asian,pacific_islander,other_race,two_or_more_races
Magnolia IA,100,0,0,0,0,0,0,0
Modale IA,97.9,0,0,2.1,0,0,0,0
Osceola IA,74.4,21.7,0.1,0,1.4,0,0,2.4
Garden Grove IA,100,0,0,0,0,0,0,0
Lamoni IA,83.7,6.1,5.1,0.9,1,0.5,0,2.6
Murray IA,95.5,2.7,0,0,0,0,0,1.8
Eagle Grove IA,86.3,12,0.5,0,0,0,0,1.2
New Hampton IA,95.5,3.1,0.2,0.2,0.5,0,0,0.6
Milford IA,96.4,1.7,1.5,0.3,0,0,0,0.2
Okoboji IA,95.1,0.5,0,0,3.7,0,0,0.7
Casey IA,89.8,6.9,0,0,0,0,0,3.3
Irwin IA,97.4,1.2,0,0.3,0,0,0,1.2
Tennant IA,100,0,0,0,0,0,0,0
Alton IA,86.8,9.7,0.9,0,0.6,0,0,2
Matlock IA,100,0,0,0,0,0,0,0
Macedonia IA,95.7,3.4,0,0,0,0,0,0.9
Millersburg IA,94.8,5.2,0,0,0,0,0,0
Cambridge IA,90.9,6.9,1.3,0.3,0.2,0,0,0.3
Zearing IA,98.7,0,0,0,0.9,0,0,0.4
Clemons IA,96.6,3.4,0,0,0,0,0,0
Laurel IA,91.3,0.3,0.6,0,0,0,1.3,6.6
Marshalltown IA,62,29,1.2,0.2,4.5,0.1,0,3
Bettendorf IA,85.6,4.1,3.2,0.4,4.7,0,0.2,1.8
Blue Grass IA,96.1,3.3,0.4,0,0,0,0,0.2
Durant IA,93.7,3.5,0,0,1.3,0,0,1.5
Eldridge IA,90.8,6.4,0.9,0,0.2,0,0,1.7
Le Claire IA,94.1,0.6,0.4,0.2,0,0,0,4.6
Riverdale IA,96.4,1,0.5,1,0,0,0,1
Mapleton IA,97.6,2.4,0,0,0,0,0,0
Delaware IA,100,0,0,0,0,0,0,0
Parnell IA,96.9,0,0,1.8,0,0,0,1.3
Curlew IA,100,0,0,0,0,0,0,0
Cylinder IA,100,0,0,0,0,0,0,0
Benton IA,100,0,0,0,0,0,0,0
Delphos IA,100,0,0,0,0,0,0,0
Kelley IA,88.4,11.3,0,0,0.3,0,0,0
McCallsburg IA,96.2,0,0,0,0,0,0,3.8
Slater IA,95.6,2.9,0,0.7,0.3,0,0,0.5
Story City IA,89,2.6,0,2.5,1.5,0,0,4.5
Gilman IA,99.7,0.3,0,0,0,0,0,0
State Center IA,95.5,1.2,1.8,0.5,1,0,0,0
Donahue IA,97.9,0.9,0,0,0,0,0,1.1
Emerson IA,90.8,0,6.7,0.2,1.5,0,0,0.8
Martelle IA,99.2,0,0,0,0,0,0,0.8
Onslow IA,91.8,1.1,2.7,0,2.7,0,0,1.6
Livermore IA,97.2,2.8,0,0,0,0,0,0
Grafton IA,95.7,0.3,4,0,0,0,0,0
Hawkeye IA,95.9,0,0,0,0,0,0,4.1
Oelwein IA,93.8,4,0.2,0,0.6,0,0,1.4
Westgate IA,98.5,1.5,0,0,0,0,0,0
Oakland Acres IA,99.2,0,0,0,0.8,0,0,0
Prairie City IA,97.1,0.5,0.5,0,0.6,0,0,1.2
Oskaloosa IA,91.9,2.5,2,0.2,2.4,0.1,0.1,0.8
Minden IA,98.8,0,0,0,1.2,0,0,0
Shelby IA,99.6,0,0,0,0,0,0,0.4
Leighton IA,94.8,0,0,0,0,0,0,5.2
Chelsea IA,57.8,41.8,0,0.4,0,0,0,0
Montour IA,97.6,2.4,0,0,0,0,0,0
Harlan IA,91.5,3.8,1.1,0.1,0.7,0,0,2.8
Avoca IA,97,1.3,0,0,0,0,0,1.6
Crescent IA,97.9,0,0,0,0,0,0,2.1
Barnes City IA,89.6,0,2.6,1.3,0,0,0,6.5
Durango IA,86.7,0,13.3,0,0,0,0,0
Farley IA,99.1,0.5,0,0,0,0,0,0.4
Peosta IA,88.6,2.1,4.5,0.1,0.5,0,0,4.1
Leland IA,83.3,10.6,4.9,0,1.1,0,0,0
Thompson IA,88.9,9.2,0,0,1.9,0,0,0
Fort Atkinson IA,94.9,2.5,0,0,0,0,0,2.5
Jackson Junction IA,100,0,0,0,0,0,0,0
Lake View IA,98.2,1,0.8,0,0,0,0,0
Lytton IA,94.2,4.7,0,0,0,0,0,1.1
Gilbertville IA,100,0,0,0,0,0,0,0
Cleghorn IA,93.9,5.1,0,0,0,0,0,0.9
Larrabee IA,90.4,0,0,0,0,0,0,9.6
Washta IA,96.8,0,0,0,2.2,0,0,1.1
Hazleton IA,92.5,3.6,0.2,1.7,0,0,0,2
Independence IA,94.7,3,0.7,0,1.6,0,0,0
Quasqueton IA,94,5.8,0.2,0,0,0,0,0
Ottumwa IA,78.2,14.7,3.9,0.1,1.1,0.3,0.2,1.5
Osage IA,97.5,0.1,0.1,0.8,0.9,0,0,0.7
Altoona IA,92.1,3.9,1.2,0.1,1,0.6,0,1
Johnston IA,90.6,1.3,2.4,0.1,4.4,0,0,1.2
Dunkerton IA,97.7,0.5,0.5,0,0,0,0,1.4
Raymond IA,96.9,1.3,0,0,0,0,0,1.8
Marquette IA,93.2,4.4,0,0.2,0.7,0,0,1.5
Osterdock IA,100,0,0,0,0,0,0,0
Granger IA,95.1,4.2,0.4,0.1,0,0,0,0.2
Waukee IA,89.1,4.5,1,0,2.6,0,0.2,2.6
Breda IA,100,0,0,0,0,0,0,0
Willey IA,100,0,0,0,0,0,0,0
Berkley IA,100,0,0,0,0,0,0,0
Luther IA,100,0,0,0,0,0,0,0
Ionia IA,93.6,6.4,0,0,0,0,0,0
Alta Vista IA,93.2,1.8,0,0,1.8,0,0,3.3
Lake Park IA,97.3,1.8,0,0,0.3,0,0,0.7
Menlo IA,95.8,1.9,0,0.7,0,0,0,1.6
Wayland IA,89.4,6.1,0,2.2,1.4,0,0,0.9
Mount Vernon IA,88.6,3.2,0.7,0,1,0.1,0,6.4
Palo IA,93.5,0.6,1.5,0,0,0,0,4.4
New London IA,95,3.4,0,0,0,0,0,1.6
Olds IA,92.3,6.5,0,0,0,0,0,1.2
Ely IA,92.9,3.9,0,0.3,0.9,0,0,2
Marion IA,91.6,1.8,2.9,0,1.1,0,0,2.6
West Liberty IA,46,49.4,0,0,2.7,0.4,0,1.5
Cantril IA,99.6,0,0,0,0.4,0,0,0
Camanche IA,92,6.4,0,0,0,0,0,1.7
Grand Mound IA,88.7,9.6,0.3,0,0,0,0,1.4
Floyd IA,96.8,0,0,0,0.9,0.6,0,1.7
Le Mars IA,89.8,6.5,0.7,0.2,0.6,0.2,0,1.9
Fenton IA,97.6,0.7,0,0,0,0,0,1.7
Elliott IA,98,0.7,0,0,0,0,0,1.2
Cromwell IA,99,0,0,0,1,0,0,0
Hubbard IA,96.5,3.5,0,0,0,0,0,0
Paton IA,90,9.6,0,0,0,0,0,0.4
Rippey IA,92.1,5.7,0.9,0,0,0,0,1.3
Eldora IA,91.3,1.5,2.6,0.1,3.7,0,0,0.8
Bancroft IA,88.6,4.2,4.9,0,0,0,0,2.4
Dysart IA,98,0,0,0.4,0.9,0,0,0.7
Lincoln IA,92,8,0,0,0,0,0,0
Grandview IA,83.3,13.4,2.5,0,0.8,0,0,0
Wapello IA,88,10.9,0.7,0,0,0,0,0.4
Primghar IA,86.3,10.1,1.2,0.3,0.8,0,0,1.3
Garner IA,94.2,3.6,0.4,0,0,0,0,1.8
Delta IA,96,3.7,0,0,0,0,0,0.3
Keota IA,94.2,1.2,0,0,1.5,0.3,0,2.8
Ollie IA,100,0,0,0,0,0,0,0
South English IA,89.1,8,0,0,0,0,0,2.9
Webster IA,91.8,8.2,0,0,0,0,0,0
Barnum IA,75.7,24.3,0,0,0,0,0,0
Steamboat Rock IA,90.8,0.3,0.9,4.9,0,0,0,3.1
Union IA,86.3,2.8,0,0.6,1.1,0,0,9.2
Lakota IA,94.1,5.4,0,0,0.5,0,0,0
Ledyard IA,90.1,5.5,0,0,0,0,0,4.4
Swea City IA,87.5,8.5,0,1.1,0,0,0,2.9
Melbourne IA,98.8,0.4,0.3,0,0.5,0,0,0
Rhodes IA,94.9,3,1.7,0,0,0,0,0.4
Davenport IA,74.7,8.5,11.6,0.3,2.5,0,0.3,2.1
Soldier IA,90,5.9,0,0,0,0,0,4.1
Turin IA,92.9,0,0,0,0,0,0,7.1
Whiting IA,99,0,0.4,0,0,0,0,0.5
Churdan IA,96.7,2.3,0,0,1,0,0,0
Masonville IA,100,0,0,0,0,0,0,0
Jefferson IA,92.9,3.3,0.2,0.2,2.3,0.1,0,1.1
Stanhope IA,98.4,0.8,0,0,0.3,0,0,0.5
Mingo IA,78.8,1.2,2.7,0,0,0,0,17.3
Blairsburg IA,100,0,0,0,0,0,0,0
Kamrar IA,90.3,4.2,0,0,5.6,0,0,0
Bridgewater IA,99.4,0.6,0,0,0,0,0,0
Boxholm IA,98.5,0,0,0,1.5,0,0,0
Madrid IA,96.7,0.9,0,0.2,0,0,0,2.2
Ogden IA,99.4,0.6,0,0,0,0,0,0
Bassett IA,100,0,0,0,0,0,0,0
Panora IA,99.1,0.5,0,0,0.4,0,0,0
Winfield IA,92.9,5.3,0,0,1.2,0,0,0.7
Archer IA,90.6,7.2,0.7,1.4,0,0,0,0
Vining IA,100,0,0,0,0,0,0,0
Elma IA,97.4,2.3,0,0,0,0,0,0.3
Fredonia IA,54.6,45.4,0,0,0,0,0,0
Eldon IA,96.8,3.2,0,0,0,0,0,0
Linn Grove IA,87.1,12.9,0,0,0,0,0,0
Clayton IA,100,0,0,0,0,0,0,0
Elkport IA,100,0,0,0,0,0,0,0
Luana IA,97.8,2.2,0,0,0,0,0,0
McGregor IA,96.7,1,0.5,1.2,0.6,0,0,0
Buffalo Center IA,95.1,4.3,0,0,0,0,0,0.6
Chester IA,90.5,1.2,2.5,0,5.8,0,0,0
Protivin IA,98.5,0,1.5,0,0,0,0,0
Letts IA,94.5,5.5,0,0,0,0,0,0
Blakesburg IA,99.4,0,0,0,0,0,0,0.6
Britt IA,94.6,5.2,0.2,0,0,0,0,0
Goodell IA,86,14,0,0,0,0,0,0
Ankeny IA,92.2,2.6,1.5,0,2.4,0,0,1.3
Polk City IA,96.5,1.6,0,0,0.1,0,0.1,1.6
Earlville IA,93.6,3.1,0.3,0,1.9,0,0,1
Greeley IA,95.7,0.4,0,0,3.9,0,0,0
Manchester IA,98.5,0.8,0.6,0.1,0,0,0,0
What Cheer IA,96.8,1.3,1.9,0,0,0,0,0
Riceville IA,90.8,4.3,0,0,0,0,0,4.9
St. Ansgar IA,97.7,0.7,0,0,1.6,0,0,0
Des Moines IA,66.5,13.1,10.7,0.3,5.9,0.1,0.2,3.2
Elkhart IA,92.4,4.9,1.7,0.1,0,0,0,0.9
Ocheyedan IA,92.4,5.4,2.2,0,0,0,0,0
Cumming IA,94.7,3.4,0,0,1.2,0,0,0.7
Martensdale IA,92.2,7.8,0,0,0,0,0,0
St. Marys IA,92,1.3,1.7,0,0,2.1,0,2.9
Rake IA,82.5,17.5,0,0,0,0,0,0
Calmar IA,95.2,3.3,1.4,0,0,0,0.1,0
Sac City IA,95.7,1.3,0.3,0,0,0,0,2.8
Schaller IA,84.3,15.1,0,0,0,0,0,0.7
Elk Run Heights IA,94,3.4,0,1,0,0,0,1.7
Evansdale IA,92.3,2.7,0.4,0.2,0,0,0,4.4
Iowa Falls IA,90.3,6.4,1.5,0.7,0,0,0.2,1
Whitten IA,96.2,3.8,0,0,0,0,0,0
Titonka IA,89.1,10.9,0,0,0,0,0,0
Wesley IA,90.7,2.3,1.3,0,0.3,0,0,5.4
Spragueville IA,100,0,0,0,0,0,0,0
Clarinda IA,91.7,2.2,3.7,0.9,0.2,0,0,1.3
Donnellson IA,97.6,0.5,0,0,0,0,0,1.9
Delmar IA,90.1,3.2,0,4.4,2.1,0,0,0.2
Rockford IA,98.1,0.4,1.4,0,0,0,0,0
Libertyville IA,98.1,1.9,0,0,0,0,0,0
Braddyville IA,81.9,0,0,18.1,0,0,0,0
College Springs IA,97,0,0,0,0,0,0,3
Mount Pleasant IA,80.4,6.8,4.4,0.5,5.4,0,0.1,2.4
Rome IA,100,0,0,0,0,0,0,0
Westwood IA,98,0,0,2,0,0,0,0
Cedar Rapids IA,83.6,3.8,6.2,0.2,3,0.1,0.3,2.8
Center Point IA,96.9,0.6,0.7,0,0.8,0,0,1
Hiawatha IA,82.1,2.6,12.4,0,1.4,0,0,1.5
Reasnor IA,100,0,0,0,0,0,0,0
Inwood IA,90.8,4.9,0,0.2,0,1.2,0,2.9
Lester IA,92.2,3.5,1.4,0,0,0,0,2.8
Tipton IA,96,1.3,1.4,1.3,0,0,0,0
Williams IA,90,3.8,1.5,0,0.8,0,0,4
Centerville IA,93.5,2.7,1.3,0,1.2,0,0,1.3
Udell IA,97.9,2.1,0,0,0,0,0,0
Nora Springs IA,93.7,3.3,0.3,0.1,0,0,0,2.6
Crawfordsville IA,95.3,3.5,0,0,0,0,0,1.2
East Peru IA,100,0,0,0,0,0,0,0
Ainsworth IA,67.1,26.7,2.7,0,0,0,0,3.5
Muscatine IA,73.9,19.4,3.4,0.2,1.2,0.1,0.1,1.8
Stockport IA,97.8,0.3,0,0,0,0,0,1.9
New Providence IA,98.3,0,0,0,0,0,0,1.7
Owasa IA,100,0,0,0,0,0,0,0
George IA,94.9,4.5,0,0,0.3,0,0,0.4
Havelock IA,100,0,0,0,0,0,0,0
Davis City IA,100,0,0,0,0,0,0,0
Shell Rock IA,97.1,2.9,0,0,0,0,0,0
Hardy IA,73.8,15,11.3,0,0,0,0,0
Glenwood IA,94.4,2.7,1.3,0.7,0,0,0,0.9
Elgin IA,99.2,0,0.4,0,0,0,0,0.4
Monroe IA,96.8,0.2,0.2,0,0.6,0,0,2.2
Plover IA,100,0,0,0,0,0,0,0
Rolfe IA,91.8,7.7,0,0,0,0,0,0.5
Lowden IA,94.1,3.8,0,0,0,0,0,2.1
Exline IA,98.6,0.7,0,0.7,0,0,0,0
Bonaparte IA,99.1,0.6,0,0,0,0,0,0.2
Alburnett IA,97.1,0,0,0,0,0,0,2.9
Wahpeton IA,98,1.2,0,0,0,0,0,0.9
Hanlontown IA,95,4.5,0,0,0,0,0,0.5
Kensett IA,93.3,5.8,0.9,0,0,0,0,0
Randalia IA,95.3,4.7,0,0,0,0,0,0
Sumner IA,98.4,0.4,0,0.6,0,0,0,0.6
Ellsworth IA,86.4,10.5,0,0.8,1,0,0,1.2
Coggon IA,99.7,0.3,0,0,0,0,0,0
Robins IA,88.5,1.2,3.1,0,7,0,0,0.2
Leon IA,97.3,1.2,0.1,0,0.5,0,0,0.9
Webster City IA,83.7,8.8,2,0,5.4,0,0,0.1
Rathbun IA,100,0,0,0,0,0,0,0
Carbon IA,87.5,6.3,0,0,0,0,0,6.3
Prescott IA,90.9,0.8,0,0,2.9,0,0,5.4
Panama IA,97.5,2,0,0,0,0,0,0.5
Granville IA,86.6,12.3,0,0,0,0,0,1.1
Ireton IA,87.4,2,0.3,0.6,0.5,0,0,9.1
McClelland IA,96.5,3.5,0,0,0,0,0,0
Keomah Village IA,100,0,0,0,0,0,0,0
Remsen IA,94.8,0.9,0,3.2,0,0,0,1.1
Dayton IA,95.7,1.5,0,0.3,0,0,0,2.5
Arion IA,97.5,0,0,0,0,0,0,2.5
Charter Oak IA,87.6,11.7,0,0,0.5,0,0,0.2
Latimer IA,68,25.1,4.7,0,0,0,0,2.2
Millerton IA,100,0,0,0,0,0,0,0
Sharpsburg IA,94.7,4.4,0,0,0,0,0,0.9
Dolliver IA,89.2,10.8,0,0,0,0,0,0
Randolph IA,83.6,0,14.8,0,0,0,0,1.6
Hedrick IA,99.2,0.8,0,0,0,0,0,0
Keswick IA,100,0,0,0,0,0,0,0
Beaman IA,97.4,1.3,0,1.3,0,0,0,0
Holland IA,98.6,0,0,0,0,0,0,1.4
Pisgah IA,96.9,0,0,0,0,0,0,3.1
Keokuk IA,87.3,3.3,4.7,0.1,1.6,0,0,3.1
Villisca IA,97,0.2,0,2.1,0,0,0,0.7
Vail IA,67.3,30.1,0.4,0,0.7,0,0.9,0.7
Geneva IA,93.4,6.6,0,0,0,0,0,0
Kimballton IA,93.5,3.4,0,0.3,0,0,0,2.8
Oxford IA,93.9,2.5,0.6,0,1.6,0,0,1.4
Shueyville IA,85.6,2.7,0,0.2,7.7,0,0,3.9
Bussey IA,98.9,0.5,0,0,0,0,0,0.5
Melcher-Dallas IA,98.6,0,0,0,0,0,0,1.4
Swan IA,82.9,17.1,0,0,0,0,0,0
Gravity IA,100,0,0,0,0,0,0,0
Farragut IA,97.3,0.5,0,0,0,0,0,2.3
Hamburg IA,93.8,4.4,0,0,0,0,0,1.8
Riverton IA,98.5,1.5,0,0,0,0,0,0
Hayesville IA,100,0,0,0,0,0,0,0
North English IA,97.2,0.7,0,0,0,0,0,2.2
Reinbeck IA,92.6,5.4,0,0,0.4,0,0,1.6
Thornburg IA,87,13,0,0,0,0,0,0
Mitchell IA,99.2,0.8,0,0,0,0,0,0
Middletown IA,84.5,8.2,2.6,0,1.3,0,0,3.4
Logan IA,97.2,1,0.6,0,0,0.9,0,0.4
Fort Madison IA,86.9,6.2,3.2,0.2,0.3,0,0,3.2
Exira IA,97.4,0,2.2,0,0,0,0,0.3
Buck Grove IA,100,0,0,0,0,0,0,0
Dow City IA,93,4.9,0,0,0,1.9,0,0.2
North Liberty IA,86.6,3.3,4.1,0,3.9,0,0,2.1
West Branch IA,92.5,6.5,0,0,1,0,0,0
Marysville IA,100,0,0,0,0,0,0,0
Allerton IA,87.9,1.3,3,0.7,0,0,0,7.1
Corydon IA,96.8,1.1,0.9,0.8,0.2,0,0,0.3
West Point IA,96.3,3.2,0,0,0.4,0,0,0
Thayer IA,100,0,0,0,0,0,0,0
Martinsburg IA,95.4,4.6,0,0,0,0,0,0
Balltown IA,86.8,11.8,0,0,0,0,0,1.5
Rockwell IA,95.3,2.5,2.3,0,0,0,0,0
Edgewood IA,95.6,0,0.8,0,2.3,0,0.1,1.1
Williamson IA,100,0,0,0,0,0,0,0
Onawa IA,90.1,0,0.1,8,0,0,0,1.7
Swaledale IA,100,0,0,0,0,0,0,0
Ralston IA,83.6,16.4,0,0,0,0,0,0
Ruthven IA,94.9,2.4,0,0,0.7,0,0,2.1
Mount Ayr IA,92.6,3.8,0.3,0.5,2.1,0,0,0.6
Haverhill IA,95,4.4,0,0,0.6,0,0,0
Le Grand IA,96.2,1.3,1,0,0.8,0,0,0.6
Long Grove IA,96.3,2.5,0.9,0.3,0,0,0,0
Ute IA,99.5,0,0,0,0,0,0,0.5
Columbus Junction IA,40.2,40.3,1.1,0,17.4,0,0.3,0.7
Cotter IA,100,0,0,0,0,0,0,0
Oakville IA,93.8,3.1,3.1,0,0,0,0,0
Hartley IA,85.7,8.7,2,0.9,0.8,0,0,2
Dougherty IA,100,0,0,0,0,0,0,0
Rock Falls IA,96.5,0.6,0,0,2.9,0,0,0
Dundee IA,91,8.1,0,0,0,0,0,0.9
Ryan IA,98.3,1,0,0,0,0,0,0.7
Clive IA,83.5,4.9,2.6,0,6.1,0,0.4,2.5
Pleasant Hill IA,86.6,6.2,3.6,0.4,0.5,0,0,2.7
Runnells IA,96.2,1.4,0.6,0.2,0,0,0,1.6
Urbandale IA,86.4,3.9,3.8,0,3.5,0.2,0,2.2
Elkader IA,97.1,0.7,1.1,0,0.3,0,0,0.9
Garnavillo IA,95.4,4.5,0,0.1,0,0,0,0
Norway IA,99.1,0,0.8,0,0,0,0.2,0
Clarion IA,75.1,22.5,0,0,0,0,0,2.4
Orleans IA,99.3,0,0,0.7,0,0,0,0
Hawarden IA,67.6,31.4,0.1,0,0,0.1,0,0.8
Wilton IA,98.2,0.7,0.3,0,0,0,0,0.8
Rock Rapids IA,98.4,0.5,0.2,0,0.1,0,0,0.8
Low Moor IA,93.1,0,1.5,0,0.7,0,0,4.7
Harper IA,95.4,0,0,0,0,0,0,4.6
Lorimor IA,99.4,0,0,0,0,0,0,0.6
Afton IA,97.2,1.8,0.2,0,0.1,0,0,0.7
Windsor Heights IA,85.8,3.8,0.7,0,5.2,0,0.4,4.1
Maloy IA,100,0,0,0,0,0,0,0
Lineville IA,93.7,0,0,0,0,0,0,6.3
Crystal Lake IA,99.1,0.9,0,0,0,0,0,0
Deep River IA,93.7,4.7,0,0,0,0,0,1.6
Stacyville IA,98.4,0.7,0.9,0,0,0,0,0
Ringsted IA,95.2,3.3,0,0,0,0,0,1.5
Westphalia IA,100,0,0,0,0,0,0,0
Graf IA,100,0,0,0,0,0,0,0
Van Meter IA,96.5,1.6,0,0,0.1,0,0,1.7
Springville IA,98.1,0,0,0.9,1,0,0,0
Meriden IA,97.3,2.1,0,0,0,0,0,0.5
Springbrook IA,94.6,0,1.3,0,0,0,0,4
Russell IA,99.5,0,0,0.5,0,0,0,0
Ackworth IA,40.1,0,0,0,0,59.9,0,0
Norwalk IA,96.3,2,0.2,0.3,0.3,0,0.1,0.7
Sandyville IA,85.5,11.6,0,0,0,0,0,2.9
Spring Hill IA,92.1,0,0,0,0,0,0,7.9
Boyden IA,84.8,14.6,0,0,0,0,0.6,0
Lucas IA,98,1,1,0,0,0,0,0
Doon IA,93,7,0,0,0,0,0,0
Miles IA,96.2,2.1,0,0,0,0,0,1.8
Monmouth IA,98.3,0,0,0,1.2,0,0,0.6
Ashton IA,90.7,2,2,0,0,0.9,0,4.4
Storm Lake IA,39.2,37.7,3.9,0,16.4,2.4,0,0.5
Bankston IA,100,0,0,0,0,0,0,0
Dyersville IA,97.7,1.9,0.4,0,0,0,0,0
Sageville IA,98.4,0,0,1.6,0,0,0,0
Truesdale IA,71.4,28.6,0,0,0,0,0,0
Monona IA,98.2,0.4,0,0,1,0,0,0.4
Volga IA,100,0,0,0,0,0,0,0
Dedham IA,100,0,0,0,0,0,0,0
Floris IA,84.9,0,0,0,0,0,0,15.1
Wiota IA,98.4,0,0,0,0,0,0,1.6
Dumont IA,97.1,1.8,0,0,0,0,0,1
Readlyn IA,96.5,3.5,0,0,0,0,0,0
Linden IA,95.2,0,0,1.6,0,0,3.2,0
Redfield IA,90.5,1,1.6,0.3,0,0,1.3,5.3
Garrison IA,99.4,0,0,0,0,0,0,0.6
Harris IA,93.3,2.5,0,0,2.5,0,0,1.8
Forest City IA,89,4.6,1.9,0,2.6,0,0,1.9
Ossian IA,95.2,4.8,0,0,0,0,0,0
Nemaha IA,78.3,19.8,0,0,0,0,0,1.9
Cedar Falls IA,90.3,2.3,2.8,0.1,3,0.1,0.4,1.1
Hudson IA,98.2,0.6,0,0,0.5,0,0,0.7
La Porte City IA,98.9,0.4,0,0,0.4,0,0,0.4
Waterloo IA,72.2,6.3,15.5,0.4,2.1,0.4,0.1,3
Strawberry Point IA,99.1,0.7,0.1,0,0,0,0,0.1
Asbury IA,91.3,0.8,1.3,0,5,0,0,1.6
Epworth IA,96.4,0.1,0.3,0,0.2,0,0,3.1
Sherrill IA,100,0,0,0,0,0,0,0
Atlantic IA,94.3,3.8,0.3,0.2,0.4,0.3,0,0.8
Cumberland IA,100,0,0,0,0,0,0,0
Massena IA,99.7,0,0,0,0,0,0,0.3
De Soto IA,93,4.2,0,0,0.2,0,0,2.6
Minburn IA,99,0,0,0,0,0,0,1
Dubuque IA,88.9,2.2,4.3,0,1.5,0.6,0.2,2.2
Jesup IA,97.4,0.4,0,0,0,0,0,2.2
Fostoria IA,100,0,0,0,0,0,0,0
Spencer IA,93,3.4,0.3,0,0.6,0,0,2.7
Moravia IA,99,0,0,0,0,0,0,1
Janesville IA,100,0,0,0,0,0,0,0
Urbana IA,93.9,3.7,1,0.5,0.2,0,0,0.7
Van Horne IA,90.5,5.9,0,0.7,0.4,0,0,2.6
Vinton IA,99.1,0,0.3,0,0.4,0,0,0.2
Woodburn IA,96.7,0,0,0,3.3,0,0,0
Goldfield IA,93,5.9,0,0,1,0,0,0
Arcadia IA,89.6,5.9,0.6,0,0,0,0,3.9
Glidden IA,93.5,4.8,1.3,0.4,0,0,0,0
Manning IA,86.6,10.6,0,0,1.9,0,0,0.9
Templeton IA,100,0,0,0,0,0,0,0
Bloomfield IA,96.1,2.9,0,0,0.4,0,0,0.5
Griswold IA,94.3,1.9,0,0,1.2,0,0,2.6
Everly IA,99.6,0.4,0,0,0,0,0,0
Royal IA,96.5,0,0.5,0.5,0,0.8,0,1.8
Nodaway IA,96.6,0,0,0,0,0,0,3.4
Pomeroy IA,93.2,1,3.8,0.7,0,0,0,1.3
Rockwell City IA,89.2,2.9,5.1,1,0.3,0,0.2,1.2
Sioux Rapids IA,94.7,3.6,0.8,0,0,0,0,1
Guttenberg IA,96.8,1.5,0.4,0.1,0,0,0,1.3
Grand River IA,100,0,0,0,0,0,0,0
Jewell Junction IA,95.7,2.6,0.6,0,1.1,0,0,0
Pilot Mound IA,100,0,0,0,0,0,0,0
Superior IA,90.9,6.6,0,2.5,0,0,0,0
West Okoboji IA,96.5,1.6,0.3,0,1.6,0,0,0
Bayard IA,99.2,0,0,0.5,0,0,0,0.3
Guthrie Center IA,91.5,6,2.1,0,0.2,0,0,0.2
Winterset IA,96.7,0.3,0,0,2.9,0,0,0.1
Coin IA,100,0,0,0,0,0,0,0
Essex IA,95.8,1.4,0,2.8,0,0,0,0
Kalona IA,91.5,7.7,0.2,0,0,0,0,0.7
Riverside IA,98.3,0.8,0,0,0,0,0,0.9
Anita IA,97.2,2.8,0,0,0,0,0,0
Aredale IA,100,0,0,0,0,0,0,0
Scranton IA,93.9,6.1,0,0,0,0,0,0
Buckeye IA,100,0,0,0,0,0,0,0
Lone Rock IA,96,1.5,0,0,0.5,0,0,2
Tama IA,64.9,26.5,0.9,4.5,0.6,0,0,2.6
Hornick IA,92,2.5,0,0,0,0,0,5.4
Stuart IA,98.3,0.8,0.1,0,0.3,0,0,0.5
Yale IA,97.6,1.7,0,0,0,0,0,0.7
Hillsboro IA,99.5,0,0,0,0,0,0.5,0
Salem IA,88.3,9.8,0,0,0.9,0,0,1
Central City IA,96,1.1,1.5,0,0.6,0,0,0.7
Prairieburg IA,100,0,0,0,0,0,0,0
Birmingham IA,96.8,1.9,0.4,0,0,0,0,0.9
Milton IA,94.8,3.8,1.3,0,0,0,0,0
Kingsley IA,95.3,2.4,0.5,0,0,0,0,1.8
Merrill IA,92,6.5,0,0,0.6,0.8,0,0
Sloan IA,90.6,1.5,0,6.8,0,0,0,1.1
Lawton IA,96.6,2.2,0.3,0,0,0,0,0.9
Oto IA,69.1,22.3,0,0,0,0,0,8.5
Walker IA,98.6,0,0,0,0,0,0,1.4
Fruitland IA,91.7,8.3,0,0,0,0,0,0
Stockton IA,96.9,0,0,3.1,0,0,0,0
Rodney IA,88,0,0,0,0,0,4,8
Hartwick IA,97.3,0,0,0,0,0,0,2.7
Moorhead IA,94.8,3.3,0,0,0.9,0,0,0.9
Lovilia IA,100,0,0,0,0,0,0,0
Plymouth IA,90.9,5.3,1.3,0,1,0,0,1.5
Moville IA,92.9,3.7,0.2,2,0,0,0,1.2
Farmington IA,98.4,0,0,0,0,0,0,1.6
Keosauqua IA,95.2,3.5,0.2,0,0,0,0,1.1
Oyens IA,100,0,0,0,0,0,0,0
Sergeant Bluff IA,93.2,0.6,0,0,1.9,0,0,4.3
Hinton IA,94.8,3,0.4,0,0.3,0,0.6,0.9
Smithland IA,98.6,0,0,0,1.4,0,0,0
Conesville IA,34.2,60.7,0,0,4.2,0,0,1
Akron IA,95,4.3,0,0,0,0,0,0.7
Craig IA,100,0,0,0,0,0,0,0
Struble IA,100,0,0,0,0,0,0,0
Anthon IA,95.4,1.7,0,0,1.7,0,0,1.2
Bronson IA,95.3,0,0.7,4.1,0,0,0,0
McIntire IA,96.1,0,0,0,0,0,0,3.9
Bondurant IA,92.7,5,0,0,1.7,0,0,0.6
