,Matthew,Mark,Luke,John,Acts,Romans,1 Corinthians,2 Corinthians,Galatians,Ephesians,Philippians,Colossians,1 Thessalonians,2 Thessalonians,1 Timothy,2 Timothy,Titus,Philemon,Hebrews,James,1 Peter,2 Peter,1 John,2 John,3 John,Jude,Revelation
Max Agreement,0.9558,0.9744,0.9681,0.9917,0.9509,0.9852,0.9756,0.9868,0.9895,0.9654,0.9665,0.9479,0.9684,0.9897,0.9756,0.9928,1,0.9665,0.9802,0.9493,0.9375,0.9597,0.9467,1,1,0.9333,0.7186
Witness,MT,MT,MT,1342,MT,MT,MT,MT,1244,MT,MT,1244,MT,1876,MT,MT,"1244,1548, 1855, MT",MT,MT,MT,,,,,,,
